id,uniqueId,videoId,link,signature,followerCount,aigcLabelType,createTime,desc,playCount,shareCount,gamer,biden_deepfakes,presidential_debates,psa_deepfakes,vietnamese_trump,trump_covers,biden_covers,trump_deepfakes
7082701856998540334,a.ziooo,7211109303145565483,https://www.tiktok.com/@a.ziooo/video/7211109303145565483,Thank you for 4k!,4693.0,False,2023-03-16 11:47:21,#fyp #foryou #foryoupage #foryoupage #funny #💀 #CapCut #preident #aitrump #trump #biden #aivoices #aivoices #aipresidents,384,0,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7202746627580478507,trumposaurusrex,7335961956207054123,https://www.tiktok.com/@trumposaurusrex/video/7335961956207054123,AI generated Trump gallery,1301.0,True,2024-02-15 22:39:26,"Your favorite Spartan Warrior President during the Battle of Thermopylae, obviously making Sparta great again #makespartagreatagain #donaldtrumpspaceforce #trump #trump2024 #trumptrain #trumpmemes #trumpsupporters #donaldtrump #trumptower #presidenttrump #trumposaurusrex #trumposaurus #trumposaur #aigeneratedart #aiart #aiartcommunity #aiartwork #aigeneratedmemes #aigeneratedartwork #aigeneratedimages #aitrumpart #aitrump #obama #barackobama #obamafoundation #michelleobama #makeamericagreatagain #battleofthermopylae #spartanwarrior #spartanwarriorchallenge #spartanwarriortraining ",1052,2,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7245047588713825322,aipresidentcovers,7247615007968775470,https://www.tiktok.com/@aipresidentcovers/video/7247615007968775470,ai covers made on covers.ai,1582.0,False,2023-06-22 20:47:59,What should AI Trump sing next #aicover #trump #aitrump #aicovers #spongebob #spongebobsquarepant #spongebobmeme #spongebobmemes #trump2024,3135,10,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7091101594754139178,cottoncandycaleb,7247322638975028526,https://www.tiktok.com/@cottoncandycaleb/video/7247322638975028526,"Order a Pizza 🍕 
New Sounds + Samples Everyday
Queens, NY 🗽📍🏧",10400.0,False,2023-06-22 1:53:26,Replying to @4444delta  🔗 in Bio #cottoncandycaleb #kendricklamar #aikendricklamar #aisongcover #aicover #producertok #glokk40spazzsong #glokk40zpazz #aikanye #aidrake #fyp #aitrump #aiobama #fypシ,1660,5,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7215647873491338246,kchtz_._,7251961768531070235,https://www.tiktok.com/@kchtz_._/video/7251961768531070235,"Since you're here, you liked my video, so follow for more.
Also check my yt",2641.0,False,2023-07-04 13:55:34,Go watch it and subscribe #funny #trump #trumpai #aisong #aicover #aitrump #viral #trumpdances #biden #us #youtube,346,0,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7233905810701550635,coversdotai,7245378372350643498,https://www.tiktok.com/@coversdotai/video/7245378372350643498,Cover your songs with AI voices!,1730.0,False,2023-06-16 20:08:43,#trump #aitrump #aicovers #aicover #onemargarita #gimmeonemargarita #margarita,3058,38,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
7202746627580478507,trumposaurusrex,7331933301885652267,https://www.tiktok.com/@trumposaurusrex/video/7331933301885652267,AI generated Trump gallery,1301.0,True,2024-02-05 2:06:13,"Beyond the mists of time, Donald the Barbarian is Chained to the perpetual Wheel of Pain, the helpless boy grows into a man, and after years of rigorous training as a fierce gladiator, Donald, now an unstoppable mountain of muscle, teams up with Vivek Ramaswamy, the American entrepreneur and politician. Together they embark on a peril-laden journey to the mysterious Mountain of Power, and the impregnable Moloch Cult Temple. #donaldtrumpspaceforce #trump #trump2024 #trumptrain #trumpmemes #trumpsupporters #donaldtrump #trumptower #presidenttrump #trumposaurusrex #trumposaurus #trumposaur #aigeneratedart #aiart #aigeneratedmemes #aigeneratedartwork #aitrumpart #aitrump #obama #barackobama #obamafoundation #michelleobama #makeamericagreatagain #donaldthebarbarian #vivekramaswamy #conanthebarbarian #conanthecimmerian #conanthedestroyer #trumpthebarbarian #hillaryclinton ",506,2,non-gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7052895883062658053,demn.productions1,7218245747479989550,https://www.tiktok.com/@demn.productions1/video/7218245747479989550,🎥🎥,143.0,False,2023-04-04 17:20:15,Check it out dawg.. #trump #aitrend #aitrump #hondacivic #honda #hondagang #hondalovers #bbswheels #carsoftiktok #fypdongggggggg,258,0,non-gamer,non-biden_deepfakes,non-presidential_debates,psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7050309135296185350,randomperson9524,7209859336674266414,https://www.tiktok.com/@randomperson9524/video/7209859336674266414,,2.0,False,2023-03-13 2:56:41,#shitposting #dankmemes #Funny #smashbros #sonicthehedgehog #aitrump #meme #memes,968,3,non-gamer,non-biden_deepfakes,non-presidential_debates,psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
7053903953235100677,vintagekicks,7257029220826795310,https://www.tiktok.com/@vintagekicks/video/7257029220826795310,https://beacons.ai/mitcho90210,66.0,False,2023-07-18 5:40:06,#aitrump #aibuden #trump #trumptrain #biden #trump2024 #bidentrump #trumpbiden #presidentialdebate #debate #trumpdebate #bidendebate #trumpbidendebate #bidentrumpdebate #bidentrumprematch #trumpbidenmashup,1047,15,non-gamer,non-biden_deepfakes,presidential_debates,psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
7233905810701550635,coversdotai,7260302026339306794,https://www.tiktok.com/@coversdotai/video/7260302026339306794,Cover your songs with AI voices!,1730.0,False,2023-07-27 1:20:02,#aicover #aicovers #aitrump #trump #disney #sharpay #highschoolmusical,3986,32,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,trump_cover,non-biden_cover,
6559150613568061446,feestdjmaarten,7206035082644180230,https://www.tiktok.com/@feestdjmaarten/video/7206035082644180230,"App ""Shot Aan"" naar 06-29292942, en ontvang als eerste het Shotje Van De Week",33300.0,False,2023-03-02 19:36:31,#donaldtrump #trump #ai #aitrump #feestdjmaarten,1768,0,non-gamer,non-biden_deepfakes,non-presidential_debates,psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,trump_deepfake
6759238661298832390,redmist2033,7205041522402725162,https://www.tiktok.com/@redmist2033/video/7205041522402725162,"twitter: @Redmist2033
Follow for giveaways and funny Streams!",500.0,False,2023-02-28 3:21:02,#mw2 #ai #cod #voicelines #aivoiceover #aipresidentgaming #aitrump #aijoe #codm,464,19,gamer,non-biden_deepfakes,non-presidential_debates,non-psa_deepfakes,non-vietnamese_trump,non-trump_cover,non-biden_cover,
